,Journal,Exists
725,Turk Serebrovaskuler Hastaliklar Dergisi,No
726,Turkisch Journal of Computer and Mathematics Education,No
727,Turkish Online Journal of Educational Technology,No
728,Turkish Online Journal of Qualitative Inquiry,No
729,Universal Journal of Accounting and Finance,No
730,Universal Journal of Educational Research,No
731,Universal Journal of Electrical and Electronic Engineering,No
732,Universal Journal of Mechanical Engineering,No
733,Utopia y Praxis Latinoamericana,No
734,Verdauungskrankheiten,No
735,Veterinary Research,No
736,Vjesnik za Arheologiju i Povijest Dalmatinsku,No
737,Vogelwarte,No
738,Voprosy Istorii  ,No
739,Water and Ecology: Problems and Solutions,No
740,Webology,No
741,Wisdom,No
742,WIT Transactions on Biomedicine and Health,No
743,WIT Transactions on Information and Communication Technologies,No
744,WIT transactions on Modelling and Simulation,No
745,World Applied Sciences Journal,No
746,World Heart Journal,No
747,World Journal of Clinical Oncology,No
748,World Journal of Medical Sciences,No
749,World Journal of Modelling and Simulation,No
750,World Journal on Educational Technology,No
751,WSEAS Transactions on Biology and Biomedicine,No
752,WSEAS Transactions on Communications,No
753,WSEAS Transactions on Computers,No
754,WSEAS Transactions on Heat and Mass Transfer,Yes
755,WSEAS Transactions on Signal Processing,No
756,Wutan Huatan Jisuan Jishu,No
757,Zairyo to Kankyo,No
758,Zeitschrift fur Familienforschung,No
759,Zeitschrift fur Feldherpetologie,No
760,Zeitschrift fur Soziologie der Erziehung und Sozialisation,No
761,Zentralsterilisation - Central Service,Yes
762,"ZFV - Zeitschrift fur Geodasie, Geoinformation und Landmanagement",No
763,Ziegelindustrie International/Brick and Tile Industry International,No
764,ZKG International,No
