,Journals,Journal Exists
659,Research Journal of Medical Sciences,NaN
660,Research Journal of Medicinal Plant,NaN
661,Research Journal of Microbiology,NaN
662,Research Journal of Obstetrics and Gynecology,NaN
663,Research Journal of Parasitology,NaN
664,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",NaN
665,Research Journal of Pharmacology,NaN
666,Research Journal of Phytochemistry,NaN
667,Research Journal of Seed Science,NaN
668,Research Journal of Toxins,NaN
669,Review of European Studies,NaN
670,Review of International Geographical Education Online,NaN
671,Revista Argentina de Clinica Psicologica,NaN
672,Revista Argentina de Endocrinologia y Metabolismo,NaN
673,Revista Chilena de Enfermedades Respiratorias,NaN
674,Revista Cubana de Cirugia,NaN
675,Revista Cubana de Medicina,NaN
676,Revista de Chimie (Bucuresti),NaN
677,Revista de Filosofia (Venezuela),NaN
678,Revista de Toxicologia,NaN
679,Revista del Laboratorio Clinico,NaN
680,Revista Espacios,NaN
681,Revista Mexicana de Ciencias Politicas y Sociales,NaN
682,Revista Romana de Medicina de Laborator,NaN
683,Revue Francaise de Psychosomatique,NaN
684,Revue Francophone des Laboratoires,NaN
685,Revue Francophone d'Orthoptie,NaN
686,Revue Internationale de Soins Palliatifs,NaN
687,Risk Governance and Control Financial Markets and Institutions,NaN
688,Romanian Biotechnological Letters,NaN
689,Russian Journal of Biopharmaceuticals,NaN
690,Russian Journal of Criminology,NaN
691,Russian Journal of Developmental Biology,NaN
692,Science and Technology of Energetic Materials,NaN
693,Science for Education Today,NaN
694,Science of Advanced Materials,NaN
695,Sciences Sociales et Sante,NaN
696,Scientific Bulletin of Naval Academy,NaN
697,Scientist,NaN
698,SD Revista Medica Internacional Sobre el Sindrome de Down,NaN
699,Sensor Letters,NaN
700,Sensors & Transducers,NaN
701,Silva Balcanica,NaN
702,Social Sciences,NaN
703,Soins Cadres,NaN
704,Somatosensory and Motor Research,NaN
705,Space Research Journal,NaN
706,"Studii si Cercetari Stiintifice, Chimie si Inginerie Chimica, Biotehnologii, Industrie Alimentara",NaN
707,Surveying and Land Information Science,NaN
708,Svensk Botanisk Tidskrift,NaN
709,SWS - Rundschau,NaN
710,Systematic Reviews in Pharmacy,NaN
711,Talent Development and Excellence,NaN
712,Teikyo Medical Journal,NaN
713,Tekstil,NaN
714,Telma,NaN
715,Tesol International Journal,NaN
716,Test Engineering and Management,NaN
717,The International Arabic Journal of Antimicrobial Agents ﻿,NaN
718,Therapie Familiale,NaN
719,Tijdschrift voor Geneeskunde,NaN
720,Tobacco Regulatory Science,NaN
721,Trace Elements and Electrolytes,NaN
722,Translational Biomedicine,NaN
723,Trends in Bioinformatics,NaN
724,Trends In Medical Research,NaN
725,Turk Serebrovaskuler Hastaliklar Dergisi,NaN
726,Turkisch Journal of Computer and Mathematics Education,NaN
727,Turkish Online Journal of Educational Technology,NaN
728,Turkish Online Journal of Qualitative Inquiry,NaN
729,Universal Journal of Accounting and Finance,NaN
730,Universal Journal of Educational Research,NaN
731,Universal Journal of Electrical and Electronic Engineering,NaN
732,Universal Journal of Mechanical Engineering,NaN
733,Utopia y Praxis Latinoamericana,NaN
734,Verdauungskrankheiten,NaN
735,Veterinary Research,NaN
736,Vjesnik za Arheologiju i Povijest Dalmatinsku,NaN
737,Vogelwarte,NaN
738,Voprosy Istorii  ,NaN
739,Water and Ecology: Problems and Solutions,NaN
740,Webology,NaN
741,Wisdom,NaN
742,WIT Transactions on Biomedicine and Health,NaN
743,WIT Transactions on Information and Communication Technologies,NaN
744,WIT transactions on Modelling and Simulation,NaN
745,World Applied Sciences Journal,NaN
746,World Heart Journal,NaN
747,World Journal of Clinical Oncology,NaN
748,World Journal of Medical Sciences,NaN
749,World Journal of Modelling and Simulation,NaN
750,World Journal on Educational Technology,NaN
751,WSEAS Transactions on Biology and Biomedicine,NaN
752,WSEAS Transactions on Communications,NaN
753,WSEAS Transactions on Computers,NaN
754,WSEAS Transactions on Heat and Mass Transfer,NaN
755,WSEAS Transactions on Signal Processing,NaN
756,Wutan Huatan Jisuan Jishu,NaN
757,Zairyo to Kankyo,NaN
758,Zeitschrift fur Familienforschung,NaN
759,Zeitschrift fur Feldherpetologie,NaN
760,Zeitschrift fur Soziologie der Erziehung und Sozialisation,NaN
761,Zentralsterilisation - Central Service,NaN
762,"ZFV - Zeitschrift fur Geodasie, Geoinformation und Landmanagement",NaN
763,Ziegelindustrie International/Brick and Tile Industry International,NaN
764,ZKG International,NaN
