Title,Authors,Keywords,Journal,Abstract
Formalizing service-dominant logic as a general theory of markets: taking stock and moving forward,"Akaka, Melissa Archpru ;  Koskela-Huotari, Kaisa ;  Vargo, Stephen L.",Academic marketing ;  Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.375-389","Advancement of the marketing discipline requires a marketing-based, general theory of markets. However, most academic marketing is developed from normative theories of economics and direct application of psychological and sociological theories. Indigenous marketing theories about markets are rare but can increase the relevance of marketing scholarship. Although theories are never fully finalized, theoretical formalizing processes can establish a general framework for theory development on markets. The aim of this paper is to provide a conceptual base for a general theory of markets by explicating the ongoing progression toward formalization of service-dominant (S-D) logic. We outline a recursive, cocreative process of theory formalization to take stock of the status of S-D logic’s development so far—what has been done and what we know and don’t know about markets. We propose specific areas of inquiry and research directions for moving forward in developing a general theory of markets that is indigenous to marketing."
Correction to: Sustainable marketing based on virtue ethics: addressing socio-ecological challenges facing humankind,"Dyck, Bruno ;  Manchanda, Rajesh V.",Business and Management ;  Correction ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (1-2), p.133-133",The Acknowledgement section was unfortunately missing in the original version of this article.
"The methodologies of the marketing literature: mechanics, uses and craft","Clark, Terry ;  Key, Thomas Martin",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.416-431","Of the three scholastic modes with which to develop ideas and create knowledge in research: logic, empirics, and the
literature
, the latter is perhaps one of the least understood and studied. This paper is a first-of-its-kind delve into what the literature is, how it is used, and its impact as a foundation for theory and conceptual work in the discipline of marketing. We create a novel approach that provides a framework to understand the way literature functions in the research process and expose the hidden mechanics of how it creates and ties together various forms of meaning through what we call, citation-based reasoning. It is through this lens that we conclude with insights for how a deeper understanding of the literature can stoke continued impact in the marketing discipline, especially for theory building and conceptual development."
Managing creatively-inspired brands: a commentary and research direction,"Dion, Delphine",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (3-4), p.471-473","In their conversation, Professor Gregory Carpenter, the Harold T. Martin Professor of Marketing at Northwestern, and Xavier Barlier, head of marketing in the US for Champagne Louis Roederer, discuss challenges managers face in keeping luxury brands relevant. The topics raised throughout the interview give rise to numerous interesting research questions on creatively inspired-brands."
Is sustainable marketing based on virtue ethics the answer to addressing socio-ecological challenges facing humankind?,"Prothero, Andrea ;  McDonagh, Pierre",Business and Management ;  Commentary ;  Ecofeminism ;  Ethics ;  Marketing ;  Marketing 4Ps ;  Marketing mix paradigm ;  Social Sciences ;  Sustainability ;  Virtue ethics,"AMS review, 2021, Vol.11 (1-2), p.134-139","This commentary provides a review of Dyck and Manchanda’s work on the use of virtue ethics, through Sociological and Ecological Thought (SET) Oriented Marketing, in tackling socio-ecological challenges within society. While we concur with the focus of the paper on moving away from a central emphasis on profit maximization, we differ in how we believe this can be achieved. We critique the SET approach put forward from three key positions: (a) the SET approach and the application of virtue ethics; (b) the SET approach and the use of the marketing mix to operationalize it in practice; and, (c) the missing systemic and institutional barriers which we believe render SET problematic both theoretically and in practical terms. We conclude by suggesting that instead of utilising normative ethical theories to address socio-ecological challenges marketing researchers turn to other perspectives, such as ecofeminism."
Informing marketing theory through consumer culture theoretics,"Arnould, Eric ;  Crockett, David ;  Eckhardt, Giana",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (1-2), p.1-8",
The textuality of markets,"Humphreys, Ashlee",Business and Management ;  Marketing ;  Social Sciences ;  Textuality ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.304-315","Although social embeddedness is an important and enduring aspect of markets, markets are also increasingly embedded in text—by which I mean alpha-numeric characters that stand in for phonetic spoken language. In this piece, I explore how text and textual thinking is an important precursor to certain forms of exchange behavior, mediates the market, and impedes or facilitates exchange. Looking at the affordances of text and textuality, I consider the ways that text orients the social practices critical to market exchange through its archival and public nature."
"Addressing socio-ecological issues in marketing: environmental, social and governance (ESG)","Ferrell, O. C.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (1-2), p.140-144","This commentary addresses the Social and Ecological Thought (SET) framework based on virtue ethics (Dyck & Manchanda, in 
AMS Review
,
2021
). The basis of this framework is to replace utilitarian values that focus on profit maximization. The Financial Bottom Line (FBL) is believed to be a mainstream utilitarian philosophy. In addition, the Triple Bottom Line (TBL) is considered inadequate to address socio-ecological issues because there is a major focus on financial performance. After addressing some of the limitations in the SET framework, the Environmental, Social and Governance (ESG) framework is presented as a more relevant alternative. ESG provides a lens for creating priorities for socio-ecological comparative performance based on industry, investors’ and peer index scores. There is a strong correlation between ESG performance and profits. Compelling evidence is provided that suggests there is no conflict between socio-ecological responsibility and financial success."
Market-shaping phases—a qualitative meta-analysis and conceptual framework,"Flaig, Alexander ;  Kindström, Daniel ;  Ottosson, Mikael",Business Administration ;  Business and Management ;  Economics and Business ;  Ekonomi och näringsliv ;  Företagsekonomi ;  market creation ;  market strategy ;  market-shaping ;  Marketing ;  markets ;  Samhällsvetenskap ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.354-374","This study explores the potential existence of reoccurring patterns in market-shaping processes by employing a qualitative meta-analysis to analyze 79 case studies on market-shaping. Through the evidence-based synthesis of qualitative data, we extract 20 generalized market-shaping activities that inform and form the foundation of a three-phased market-shaping process. This conceptual framework divides the market-shaping process into the phases of infusion, formation and retention. By applying our conceptual framework to the qualitative dataset, we explore the presence of market-shaping phases and provide further insights into the interdependences and dynamics between multiple, simultaneously occurring, market-shaping processes. By providing a structured market-shaping process, we attempt to reduce the overall complexity of the market-shaping phenomenon and facilitate the operationalization of the phenomenon for further market-shaping research. Additionally, our conceptualization provides practitioners with a framework to analyze the market-shaping efforts of other market actors and support the design of their own market-shaping strategies."
The instantaneous commitment effect: developing stakeholder orientation among managers,"Vaid, Shashank ;  Ahearne, Michael",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.162-179","The authors introduce and investigate incoming managers’ instantaneous commitment - a novel concept increasingly relevant to frontline managers. Instantaneous commitment is a type of organizational commitment that can be formed expediently on the back of incoming managers’ preexisting role/work-related factors (stakeholder connections, relationships, and skills) offering organizations guidance on managers’ stakeholder orientation. Moreover, instantaneous commitment helps organizations avoid the classic loyalty-utility dilemma, as it provides an organization-wide instantaneous approach towards better stakeholder focus while being agnostic to emotional investment (loyalty) and to calculative assessment (utility) that may take shape over time. The authors provide a parsimonious explanation of instantaneous commitment construct and differentiate it from related constructs (affective commitment and continuance commitment). We also offer an understanding of how organizations can engender instantaneous commitment among managers. Finally, we develop a conceptual framework of a set of factors - prior role/work related antecedents, stakeholder orientation consequence of instantaneous commitment, and moderating influences of individual, environmental and new role/work related factors."
The past and future of marketing theory and practice: a tribute to the 50th anniversary of the Academy of Marketing Science,"Ferrell, O. C. ;  Conduit, Jodie ;  Edvardsson, Bo ;  Vargo, Stephen L.",Business Administration ;  Business and Management ;  Economics and Business ;  Editorial ;  Ekonomi och näringsliv ;  Företagsekonomi ;  Marketing ;  Samhällsvetenskap ;  Social Sciences,"AMS review, 2021, Vol.11 (3-4), p.390-394",
Innovation and the theory of fields,"Fligstein, Neil",Alliances ;  Business and Management ;  Government sponsored enterprises ;  Innovations ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.272-289","Innovation does not just involve the creation of new products, but also includes the need for new kinds of processes and organizations. Field theory can help us understand why some innovations are more piecemeal and others more revolutionary. It explicitly links innovation to the process of the emergence, adjustment, and transformation of markets (conceived of as fields). To illustrate this perspective, the case of the transition in the U.S. from a mortgage market dominated by savings and loan banks to the emergence of mortgage securitization dominated by the government sponsored enterprises and the largest private banks, is explicated. Field theory helps us understand the logic of this transition and the myriad players and innovations that helped produce a large part of what we consider to be modern finance. The case also shows the limits of economic theories of financial innovation and the sociology of finance. I end with a discussion of how field theory can inform subsequent research on innovation."
A bridge to relevance: on the history of the Academy of Marketing Science® (AMS),"Babin, Barry J. ;  Moulard, Julie Guidry ;  Lindquist, Jay D.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (3-4), p.454-463","AMS has survived half a century. Originally envisioned by Harold W. Berkman, who survived nearly a full century, the association has grown in numbers and in prominence. While AMS is well-known for its two leading academic journals and for hosting well-attended annual conferences and the World Marketing Congress, relatively little has been written about AMS history. We contribute a brief history of AMS that emphasizes the organization’s missions and values. In particular, AMS, along with its publications and conferences, has been, is, and will continue to aim to represent, a bridge between the academic and practicing marketing community. Further, that bridge should be built upon quality, service, and integrity."
Mapping spheres of exchange: a multidimensional approach to commoditization and singularization,"Brondino-Pompeo, Karin",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.81-95","The process of commoditization–singularization, as developed by Kopytoff, is a compelling concept for understanding market exchange, and has been explored predominantly by scholars of consumer culture theoretics. The concept allows us to examine complex interactions between people, objects, and the dynamics of a market, and the literature based on it has illuminated the intricate tensions and contradictions within and between spheres of exchange. The use of the concept, however, is not without problems since some studies have applied dualistic or simplistic versions of it. This paper illustrates the current state of affairs by revisiting Kopytoff’s seminal work and analyzing the marketing and consumer research literature that derives from it, thus demonstrating how the conceptualization has evolved over time. In an attempt to overcome the dualist approach and further explore this topic, I propose a multidimensional perspective of spheres of exchange, offering an alternative approach for investigating the commoditization–singularization process."
Netflix: Reinvention across multiple time periods,"Jaworski, Bernard J.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.180-193",
"How valence, volume and variance of online reviews influence brand attitudes","Zablocki, Agnieszka ;  Schlegelmilch, Bodo ;  Houston, Michael J.",Attitudes ;  Brand loyalty ;  Business and Management ;  Digital marketing ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (1-2), p.61-77","Online reviews can strongly influence purchase decisions. In the past decade, extensive research in the field of online reviews has focused on product categories (e.g., hedonic, utilitarian) and product sales. However, research on how the characteristics of online reviews (valence, volume, and variance) influence attitudes toward brands is sparse, even though brands are among the most valuable corporate assets and companies use online marketing extensively to increase brand loyalty. Thus, this paper offers a conceptual model that closely examines the relationship between the characteristics of online reviews and brand attitudes. The model contributes to a better understanding of the influence of contextual factors on brand attitudes within online communication. In line with prior research, the study conceptualizes volume and variance as moderators of valence. Furthermore, the proposed conceptual model integrates brand type (functional, emotional, symbolic, and lifestyle) and the source of review (stranger or acquaintance) as potential moderators. Conceptual insights, along with managerial implications for online marketing managers, are provided."
Assessing and advancing marketing’s value propositions: a disciplinary dialog,"Vargo, Stephen L.",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (3-4), p.149-150",
"The changing role of marketing: transformed propositions, processes and partnerships","Storbacka, Kaj ;  Moser, Ted",Business and Management ;  Conceptual ;  Marketing ;  Social Sciences ;  Theory ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.299-310",
First steps to creating high impact theory in marketing,"Bolton, Ruth N.",Business and Management ;  Commentary ;  Ecosystem ;  Impact ;  Marketing ;  Marketing theory ;  Research priorities ;  Responsible research ;  Social Sciences ;  Stakeholders,"AMS review, 2020, Vol.10 (3-4), p.172-178","The business research ecosystem can be transformed by responsible research principles. This commentary offers concrete guidance for developing high impact theory; it provides a tool to assess research benefits and identify participating stakeholders. It also calls for improving doctoral training, countering risk aversion in research topic selection, re-aligning faculty incentives, and leveraging academic institutions."
"Marketing’s value propositions: a focus on exit, voice, and loyalty","Hult, G. Tomas M. ;  Morgeson, Forrest V.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (3-4), p.185-188","We capture the theoretical and practical essence of the thoughts by Key, Clark, Ferrell, Stewart, and Pitt (
AMS Review
,
2020
) on marketing’s value propositions by creating an integrative satisfaction-focused exit-voice-loyalty theory. The potpourri of thoughts by Key et al. (
2020
) in this issue of
AMS Review
–centered mainly on marketing’s value propositions within the broader business academy (and practice)–lend themselves to a focus on the value propositions, dynamics, and relationships between customers and firms. With the customer-firm exchange as the lens, marketing’s value propositions are effectively brought out via the development of the satisfaction-focused exit-voice-loyalty theory (SEVL theory)
."
A framework for viral marketing replication and mutation,"Fox, Gavin L. ;  Lind, Stephen J.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.206-222","The value of successful viral marketing campaigns to marketing performance is widely acknowledged. As a result, a great deal of attention is paid to mechanisms that foster viral spread. However, due to the consumer-influenced nature of viral replication, it is also important to consider the malleability of such messages. Expanding the focus to include the potential for viral mutations is a critical step in understanding how viral messages evolve and in understanding which messages are most likely to spread and generate their desired impact. Further, there currently is no accepted model for the viral marketing replication process to guide research efforts. Therefore, this article defines viral message mutations, builds a framework for the viral replication process, and identifies susceptibility to mutation at various stages of that process. The proposed framework is then used to offer numerous avenues for future research."
Reclaiming or rebranding marketing: implications beyond digital,"Ritter, Thomas",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (3-4), p.311-314",
"Relevance, rigor and impact of scholarly research in marketing, state of the discipline and outlook","Varadarajan, Rajan",Business and Management ;  Commentary ;  Marketing ;  Marketing theory ;  Relevance and rigor ;  Social Sciences ;  Value proposition and values proposition of the marketing academy to society,"AMS review, 2020, Vol.10 (3-4), p.199-205","This commentary presents a dissenting point of view on some of Key et al.’s (
AMS Review
,
2020
) observations concerning the relevance and rigor of scholarly research in marketing, impact of scholarly research in marketing on research in other disciplines, and influence of the marketing function in firms at the top management level."
Brand-self connections and brand prominence as drivers of employee brand attachment,"Gill-Simmen, Lucy ;  MacInnis, Deborah J. ;  Eisingerich, Andreas B. ;  Whan Park, C.",Brand loyalty ;  Business and Management ;  Employees ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.128-146","Past research reveals that customers can attach meanings to brands that create strong connections between the brand and the self. When they do, and when the brand is prominent in their minds, they become psychologically attached to the brand, and display strong brand loyalty and advocacy behaviors. We use a grounded theory framework to ask if
employees
develop similar brand-self connections and regard the brand as prominent in their lives based on the meaning they attach to the brand they work for. This question is important because employee’s attachment to the brand can have critical equity-driving implications for the brand’s marketplace success and the employee’s commitment to the organization. We also ask what drives such outcomes. Beyond identifying novel drivers of employees’ brand attachment, we find that employees’ attachment to a brand is conceptually and empirically different from attachment or commitment to the organization. Specifically, we observe employees who are not attached to the organization but who are still attached to the brand, and who engage in difficult-to-enact pro-brand and pro-organization behaviors. Finally, our findings contribute to a broader knowledge base on organizational commitment and attachment by identifying brand meaning-related drivers of employees’ organizational commitment/attachment. Prior research has studied non-brand related drivers of these organizational outcomes."
Leveraged marketing communications: a framework for explaining the effects of secondary brand associations,"Bergkvist, Lars ;  Taylor, Charles R.",Business and Management ;  Co-branding ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2016, Vol.6 (3-4), p.157-175","This paper focuses on the concept of Leveraged Marketing Communications (LMC) and provides the first comprehensive definition of the concept. LMC are defined here as brand building strategies that pair a brand with another object for the purpose of enabling the brand to benefit from the associations the target audience has with the object. We develop an integrative conceptual framework for understanding the factors that influence the brand effects of LMC that is informed by prior research findings on five different LMC strategies (celebrity endorsement, sponsorship, product placements, cause-related marketing, and cobranding) and their effects on the brand. The framework also draws on prior models of cobranding and Keller’s (
1993
) customer-based brand equity concept and it addresses weaknesses in previous LMC frameworks. The integrated framework contributes to the literature by allowing for an understanding of both when, and how, associations transfer from the branded object to the brand in the context of LMC. Specifically, the framework proposes that learning of brand awareness and transfer of associations from the LMC object to the brand take place via four different routes and that a broad range of brand-, object-, and campaign-related variables moderate these brand awareness and transfer effects. Managerial recommendations and an agenda for future research are offered."
"Transaction cost theory: past, present and future","Rindfleisch, Aric",Alliances ;  Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.85-97","Transaction cost theory emerged over 80 years ago yet still continues to exert an important influence on marketing thought. In this article, I examine the past, present and future of this important theory by exploring the work of three of its key scholars: Ronald Coase, Oliver Williamson and Yochai Benkler. This examination provides an overview of each scholar’s ideas, a look at their intellectual influences, and an assessment of their impact on marketing scholarship. In addition to this in-depth exploration of transaction cost theory, I also highlight the contextual nature of how theories form, develop and change over time. My hope is that this examination will enrich our understanding of this important theory and suggest how it can be applied to a new set of marketing topics."
Advancing conceptual-only articles in marketing,"Vargo, Stephen L. ;  Koskela-Huotari, Kaisa",Business Administration ;  Business and Management ;  Economics and Business ;  Editorial ;  Ekonomi och näringsliv ;  Företagsekonomi ;  Marketing ;  Samhällsvetenskap ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.1-5",
The “first principles” of marketing strategy,"Palmatier, Robert W. ;  Crecelius, Andrew T.",Business and Management ;  Market strategy ;  Marketing ;  Principles ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (1-2), p.5-26","The marketing domain has grown increasingly rich with data, frameworks, and analyses that enable marketers to craft and execute effective strategies, but they simultaneously represent a potential barrier to strategy formation due to their diversity and complexity. This article proposes a parsimonious organizing framework for marketing strategy decisions and the tools associated with each decision. This framework is grounded in four assumptions or first principles that guide the effectiveness of any marketing strategy: (1) All customers differ, (2) all customers change, (3) all competitors react, and (4) all resources are limited. By reviewing prior marketing research through the lens of these four principles, this article illustrates how marketing theory and practice can apply extant analyses and frameworks to support strategy decisions associated with each principle. The authors also theorize about how the four principles build on one another in a natural sequence to guide the formation and execution of marketing strategies."
Reimagining marketing doctoral programs,"Yadav, Manjit S.",Academic degrees ;  Business and Management ;  Commentary ;  Curricula ;  Graduate studies ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.56-64","In this essay, my focus is on one critically important aspect of marketing doctoral programs: theory development. Theory animates everything we do in our discipline. Therefore, it is imperative that doctoral programs place theory at the heart of curriculum that shapes the thinking, priorities, and research efforts of our new scholars. Unfortunately, in many doctoral programs, this does not happen. To spur a conversation on this critically important issue in our discipline, I suggest five initiatives that seek to reimagine the content and structure of marketing doctoral programs. These initiatives are: (1) Add marketing to marketing doctoral programs; (2) Create a dedicated space in the curriculum for theory construction; (3) Restructure the sequence of doctoral seminars; (4) Make a foundational essay mandatory in dissertations; and (5) Change the culture of marketing doctoral programs."
Spillover effects in marketing: integrating core research domains,"Raufeisen, Xenia ;  Wulf, Linda ;  Köcher, Sören ;  Faupel, Ulya ;  Holzmüller, Hartmut H.",Business and Management ;  Celebrities ;  Co-branding ;  Corporate sponsorship ;  Endorsements ;  Literature reviews ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (3-4), p.249-267","Spillover effects, i.e., a change in beliefs regarding one entity due to the evaluation of another associated entity (Ahluwalia et al.
Journal of Marketing Research
,
38
(4), 458–470, Ahluwalia et al.
2001
) is a core mechanism of a variety of marketing activities, such as brand extensions, co-branding, celebrity endorsements, and sponsorships. In this paper, we develop a comprehensive conceptualization of the spillover phenomenon and describe its underlying process. In addition, we review and consolidate relevant literature from different research domains, identify context-specific and overall factors that determine the occurrence of such effects, and discuss several methodological aspects that may become central considerations for future research in this field."
'First things first': The AMS Review – Sheth Foundation 2020 annual doctoral competition for conceptual articles,"Conduit, Jodie ;  Kleinaltenkamp, Michael",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.6-7",
Creativity and publication in marketing,"Stewart, David W.",Business and Management ;  Commentary ;  Creativity ;  Marketing ;  Scholarly publishing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.65-72","The best academic publishing is an exercise in creativity and the more creative the work, the greater the long-term impact. It is, by definition, a high-risk/high return activity. Drawing on the literature on creativity, this paper describes the management of creative processes and develops implications for both the individual scholar and organizations that seek to facilitate high impact publication in marketing."
Sustainability in marketing: a systematic review unifying 20 years of theoretical and substantive contributions (1997–2016),"Lunde, Matthew B.",Business and Management ;  Marketing ;  Social Sciences ;  Sustainability ;  Systematic review ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (3-4), p.85-110","A growing area of marketing research has surfaced in the past 20 years at the nexus of marketing and sustainability. However, a review of marketing literature shows that this field lacks conceptual and theoretical clarity. This article reviews research published on sustainability from 25 leading marketing journals between 1997 and 2016. It examines how theories used to frame sustainability in marketing literature have evolved. Additionally, no unified definition for sustainability exists in current marketing literature. To fill this void, the author proposes a new, holistic definition of sustainability in marketing, coined “sustainable marketing,” which is unique to the marketing discipline. Through presenting the GREEN Framework of Sustainable Marketing, the author conceptually and theoretically clarifies, unifies, and extends the current research. Finally, the systematic review explores implications for theory and practice and offers researchers, practitioners, and policymakers many opportunities for future research."
On the practical relevance of the attraction effect: A cautionary note and guidelines for context effect experiments,"Lichters, Marcel ;  Sarstedt, Marko ;  Vogt, Bodo",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2015, Vol.5 (1-2), p.1-19","While the attraction effect has received considerable attention in consumer research, recent research concludes that the effect is restricted to artificial choice settings, which questions its relevance for marketing practice. This paper takes a broader perspective on the issue of the generalizability of research results and introduces a set of background factors, which, if neglected, have adverse consequences for such generalizability. The results of our extensive review of the literature on this topic, published during the last four decades in the top 30 marketing journals, show that context effect studies have routinely neglected these background factors. In light of our results, we propose guidelines for implementing context effect experiments in future consumer research. These guidelines allow for a more realistic analysis of the attraction effect and related context effects in consumer research."
"Reinventing professional service firms: the migration to a client-facing, talent-on-demand platform","Jaworski, Bernard J. ;  Patel, Ajay",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.135-144",
Advancing theory in marketing: insights from conversations in other disciplines,"Varadarajan, Rajan",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.73-84","Over the years, marketing scholars have voiced concerns regarding the dearth of indigenous theory development in marketing, reliance on theories developed in other disciplines, and the downward trend in conceptual articles published in marketing journals. Advancing marketing theory encompasses developing organic marketing theories, refining and extending theories developed in other disciplines used to explain and predict marketing phenomena, evaluating theories currently in vogue in the field and discarding flawed theories, and developing overarching theories that in addition to explaining marketing phenomena also explain a broader range of phenomena that transcend disciplinary boundaries. Along the lines of the demonstrated potential of theories developed in other disciplines to shed light into marketing phenomena, the potential of organic marketing theories to shed light into phenomena that are the focus of research in other disciplines also merit exploration. Against this backdrop, drawing on theory insights from marketing literature and other disciplines, this commentary focuses on issues relating to development of new theories, extensions and revisions of theories in vogue, and discarding of flawed theories."
Contributing to theory: opportunities and challenges,"Barney, Jay B.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.49-55","Scholars looking to make original theoretical contributions typically must address at least three challenges: Defining what constitutes an original theoretical contribution, positioning a paper in ongoing theoretical conversations, and critiquing prior published work. Based on experiences at the Academy of Management Review, approaches for addressing these challenges are discussed."
Information transparency as competitive advantage: research approaches to platform ecosystem design and competition,"Key, Thomas Martin ;  Challagalla, Goutam",Business and Management ;  Commentary ;  Competitive advantage ;  Marketing ;  Social Sciences,"AMS review, 2020, Vol.10 (1-2), p.145-147",This paper explores a research agenda based on the Jaworski and Patel ( 2020 ) interview.
Marketing’s identity crisis: insights from the history of marketing thought,"El-Ansary, Adel ;  Shaw, Eric H. ;  Lazer, William",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2018, Vol.8 (1-2), p.5-17","For almost half a century the broadening and generic concepts of marketing have been the dominant paradigm in the marketing discipline. However, ambiguities in that paradigm have hindered development of a general theory of marketing. This research takes a fresh look at these concepts that some academics regard as causing an identity crisis in marketing. Historical analysis reveals many practical applications, which arise from the broadening/generic paradigm, result in unresolvable theoretical anomalies. Consequently, a new paradigm is proposed. Marketing systems, we argue, provides a logically coherent foundation for building a general theory of marketing."
The journey towards customer centricity and service growth in B2B: a commentary and research directions,"Ulaga, Wolfgang",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2018, Vol.8 (1-2), p.80-83",
Researching marketing capabilities: reflections from academia,"Morgan, Neil A.",Business and Management ;  Commentary ;  Marketing ;  Social Sciences,"AMS review, 2019, Vol.9 (3-4), p.381-385",
"The contingent value of pay inequalities in sales organizations: integrating literatures in economics, management, and psychology","Rouziou, Maria",Business and Management ;  Marketing ;  Salespeople ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (3-4), p.184-204","Pay-for-performance compensation systems are often employed in sales organizations and can potentially lead to pay inequalities. With increased transparency of employees’ pay outcomes stemming from CRM and related technologies, salespeople now have ample opportunity to observe these inequalities, compare their pay with that of others, and make fairness assessments. These comparisons and assessments then have implications in terms of utility, behaviors, and performance of salespeople, which have scarcely been explored in the sales or marketing literature. This article considers research on pay inequality from three other fields – economics, management, and psychology – and highlights relevant issues in sales contexts. Furthermore, the article provides scholars with a resource that elaborates on the nature of pay inequalities and their multiple outcomes on individual and organizational performance, as well as noting their likely antecedents and moderators."
A marketing perspective on business models,"Gatignon, Hubert ;  Lecocq, Xavier ;  Pauwels, Koen ;  Sorescu, Alina",Business administration ;  Business and Management ;  Editorial ;  Humanities and Social Sciences ;  Marketing ;  Social Sciences,"AMS review, 2017, Vol.7 (3-4), p.85-89",
Effective reviewing for conceptual journal submissions,"Griffin, Abbie ;  Barczak, Gloria",Business and Management ;  Marketing ;  Quality ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.36-48","Peer reviewed academic journals, like
AMS
Review, live and die by their ability to obtain high quality reviews of submitted manuscripts. However, academics are increasingly pressed for time, needing to publish their research, teach their classes, and provide service to their Department, Faculty/College and University to support their careers in terms of retention, tenure, and promotion. Amidst these responsibilities, as a service to the Academy, academics also are expected to provide reviews of manuscripts in order to move the intellectual trajectory of the domain forward. High quality reviewing, though, takes cognitive energy and is time consuming, which then interferes with other academic responsibilities. For these reasons, editors of peer-reviewed academic journals are finding it more and more difficult to obtain a sufficient number of high-quality reviews to make good decisions about submissions in a timely manner. The purpose of this article is to help
all
reviewers, but especially those reviewing conceptual articles, provide a high-quality review. Specifically, this article first defines what constitutes a “high quality review,” and suggests how reviewing can aid an academic’s own research, writing and career. It then defines the behaviors needed for effective reviewing for all manuscripts, termed the 5 R’s: roles, responsibilities, responses, reactions, and respect. It then provides a reviewing template for conceptual articles, given the special difficulties of peer reviewing such articles, and closes with a few additional pieces of advice to help with being efficient in reviewing, while being effective."
"The digital continuum: the influence of ownership, access, control, and Cocreation on digital offerings","Micken, Kathleen S. ;  Roberts, Scott D. ;  Oliver, Jason D.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.98-115","Digital offerings have provided new ways to experience what once were physical products. Such offerings have upended business processes by being less costly for firms to produce, store, and distribute. The ways in which consumers access them and interact with them have called into question traditional notions of ownership, access and control. This paper extends the thinking about digital offerings by proposing a Digital Continuum framework: a conceptual model anchored at one end by Digital Products and at the other by Digital Services. We discuss the benefits and costs that accrue to both consumers and firms along the Continuum that result from differences in ownership, access, control and customization/cocreation."
